Day,Date,Total Square,Total Cash CAD,Total CAD from USD,Total Cash (USD),Total CAD,Total Visitors,Long Weekend,Sponsorship Weekend,Cruise Ship Day,Rainy Day,Classroom Visits,Cruise,Local,Northwest BC,Other,D/n pay - Family Pass,D/n pay- No $,Unwilling to pay/walked away,Babies (0-3yrs),Child (4-12 yrs),Youth (13-18 yrs),Adult/Seniors,Sponsors,Comments
-Saturday-,Jun-17-23,,$165.90,$0.00,$0.00,$165.90,0,,Y,,,,,,,,,,,,,,,,"OPENING DAY! Original Float = $165.90, Free day, did not track"
-Sunday-,Jun-18-23,,$136.95,$0.00,$0.00,$136.95,0,,,,,,,,,,,,,,,,,,Did not track
-Monday-,Jun-19-23,,$20.80,$369.84,$268.00,$390.64,34,,,,,,25,5,0,4,0,0,0,,,,,0,Partial tracking
-Thursday-,Jun-22-23,,$5.00,$369.84,$268.00,$374.84,5,,,,,Y,0,2,0,3,0,20,0,,,,,0,"""Other"" = PRPA employees taking a peek, Lax Kxeen Gr 2 class, partial tracking"
-Friday-,Jun-23-23,,$115.10,$324.30,$235.00,$439.40,147,,,Y,,,131,9,4,3,0,0,0,,,,,0,Ruby Princess in port
-Saturday-,Jun-24-23,,$153.60,$0.00,$0.00,$153.60,48,,,,,,0,27,7,14,0,0,0,,,,,0,Did a deposit: USD$403 and CAD$350
-Sunday-,Jun-25-23,,$20.10,$138.00,$100.00,$158.10,23,,,,,,0,17,0,6,0,0,2,,,,,5,
-Wednesday-,Jun-28-23,,$156.55,$0.00,$0.00,$156.55,52,,,Y,,,3,39,0,10,0,0,0,,,,,0,Seabourn Odyssey in port
-Thursday-,Jun-29-23,,$38.90,$20.70,$15.00,$59.60,17,,,,,,0,12,0,4,1,1,0,,,,,0,
-Friday-,Jun-30-23,,$95.50,$0.00,$0.00,$95.50,47,,,,,,0,29,0,17,1,0,0,,,,,0,2:30 to 3:30pm Staff training with Chris V
-Saturday-,Jul-1-23,,$134.85,$0.00,$0.00,$134.85,33,,,,,,0,23,0,9,1,0,13,,,,,1,
-Sunday-,Jul-2-23,,$99.30,$0.00,$0.00,$99.30,53,,,,,,0,29,3,18,3,0,5,,,,,0,
-Monday-,Jul-3-23,,$98.65,$564.42,$409.00,$663.07,154,,,Y,,,145,9,0,0,0,0,63,,,,,0,Carnival Miracle AND Ruby Princess in port today
-Thursday-,Jul-6-23,,$68.90,$0.00,$0.00,$68.90,46,,,,,,0,26,3,17,0,0,0,,,,,0,Did a deposit: USD$349 and CAD$720
-Friday-,Jul-7-23,,$87.40,$248.40,$180.00,$335.80,42,,,Y,,,10,19,0,13,0,1,11,,,,,0,Oceania Insignia in port
-Saturday-,Jul-8-23,,$55.30,$34.50,$25.00,$89.80,49,,,,,,0,25,11,13,0,0,7,,,,,0,
-Sunday-,Jul-9-23,,$82.15,$0.00,$0.00,$82.15,52,,,,,,0,35,5,12,0,0,0,,,,,0,
-Tuesday-,Jul-11-23,,$129.80,$103.50,$75.00,$233.30,79,,,Y,,,41,29,1,8,0,2,30,,,,,0,3 small cruise ships in port
-Thursday-,Jul-13-23,,$103.50,$89.70,$65.00,$193.20,39,,,Y,,,22,9,8,0,0,1,13,,,,,0,Ruby Princess in port
-Friday-,Jul-14-23,,$58.95,$0.00,$0.00,$58.95,43,,,,,,0,22,1,20,0,0,1,,,,,0,
-Saturday-,Jul-15-23,,$97.15,$0.00,$0.00,$97.15,62,,,,,,0,34,6,19,3,0,7,,,,,0,Grand Opening!
-Sunday-,Jul-16-23,,$37.25,$0.00,$0.00,$37.25,30,,,,,,0,15,5,10,0,0,4,,,,,0,Did a deposit: USD$160 and CAD$590
-Monday-,Jul-17-23,,-$15.30,$266.34,$193.00,$251.04,117,,,Y,,,72,18,10,15,2,0,45,,,,,0,Carnival Miracle in port
-Thursday-,Jul-20-23,,$127.60,$0.00,$0.00,$127.60,35,,,,,,0,30,0,5,0,0,20,,,,,24,Sponsor Appreciation night 4pm to 6pm -closed to the public
-Friday-,Jul-21-23,,$279.60,$0.00,$0.00,$279.60,62,,,,,,0,22,5,35,0,0,12,,,,,0,
-Saturday-,Jul-22-23,,$53.40,$8.28,$6.00,$61.68,33,,,,Y,,0,8,5,16,4,0,7,,,,,0,Rainy day
-Sunday-,Jul-23-23,,$94.40,$176.64,$128.00,$271.04,77,,,Y,,,35,25,8,6,3,0,29,,,,,0,Ruby Princess in port
-Thursday-,Jul-27-23,,$44.25,$0.00,$0.00,$44.25,39,,,Y,,,3,22,6,8,0,0,12,,,,,0,Hanseatic Nature in port
-Friday-,Jul-28-23,,$42.35,$0.00,$0.00,$42.35,40,,,,,,0,27,2,9,2,0,8,,,,,0,
-Saturday-,Jul-29-23,,$364.25,$27.60,$20.00,$391.85,25,,,Y,,,5,13,0,3,4,0,5,,,,,0,Oceania Regatta in port
-Sunday-,Jul-30-23,,$215.90,$0.00,$0.00,$215.90,64,,,,,,0,60,0,4,0,0,12,,,,,0,Farmers Market from 11am to 2pm in Cow Bay
-Monday-,Jul-31-23,,$62.95,$143.52,$104.00,$206.47,49,,,Y,,,40,9,0,0,0,0,17,,,,,0,Carnival Miracle in port
-Wednesday-,Aug-2-23,,$56.85,$104.88,$76.00,$161.73,44,,,Y,,,24,13,0,7,0,0,13,,,,,0,Ruby Princess in port
-Wednesday-,Aug-2-23,,$56.85,$104.88,$76.00,$161.73,44,,,Y,,,24,13,0,7,0,0,13,,,,,0,Ruby Princess in port
-Friday-,Aug-4-23,,$54.95,$0.00,$0.00,$54.95,15,,,,,,0,6,0,9,0,0,2,,,,,0,
-Saturday-,Aug-5-23,,$126.75,$0.00,$0.00,$126.75,66,,,,,,0,20,5,41,0,0,8,,,,,0,Did a deposit: USD$217 and CAD$695
-Sunday-,Aug-6-23,,$87.15,$0.00,$0.00,$87.15,35,,,,,,0,5,13,15,2,0,1,,,,,0,
-Tuesday-,Aug-8-23,,$23.85,$6.90,$5.00,$30.75,19,,,Y,,,7,0,7,5,0,0,7,,,,,0,Seabourn Odyssey in port
-Thursday-,Aug-10-23,,$39.45,$0.00,$0.00,$39.45,17,,,,Y,,0,0,2,15,0,0,4,,,,,0,Rainy day in Rupert
-Friday-,Aug-11-23,,$50.55,$0.00,$0.00,$50.55,40,,,,Y,,0,4,13,23,0,0,5,,,,,0,Rainy day in Rupert
-Saturday-,Aug-12-23,,$47.05,$41.40,$30.00,$88.45,33,,,Y,,,12,10,4,4,3,0,47,,,,,0,Ruby Princess in port from 1pm to 6pm
-Sunday-,Aug-13-23,,$87.45,$0.00,$0.00,$87.45,21,,,,,,0,4,5,12,0,0,15,,,,,0,
-Monday-,Aug-14-23,,$162.30,$208.38,$151.00,$370.68,54,,,Y,,,37,10,0,5,2,0,32,,,,,0,Carnival Miracle in port - all day
-Tuesday-,Aug-15-23,,$73.15,$0.00,$0.00,$73.15,38,,,Y,,,7,6,0,21,4,0,7,,,,,0,Star breeze in port until 2pm
-Friday-,Aug-18-23,,$64.50,$0.00,$0.00,$64.50,31,,,,,,0,9,1,21,0,0,6,,,,,0,Did a deposit: USD$241 and CAD$655
-Saturday-,Aug-19-23,,$17.90,$0.00,$0.00,$17.90,142,,Y,,,,0,40,44,58,0,0,0,,,,,0,Pembina Free Weekend - Day 1
-Sunday-,Aug-20-23,,$120.20,$0.00,$0.00,$120.20,170,,Y,,,,0,130,20,20,0,0,0,,,,,0,Pembina Free Weekend - Day 2 + Cow Bay Farmers' Market
-Tuesday-,Aug-22-23,,$37.85,$42.78,$31.00,$80.63,36,,,Y,,,16,5,0,15,0,0,33,,,,,0,Ruby Princess & Seabourn Odyssey in port
-Thursday-,Aug-24-23,,$33.05,$0.00,$0.00,$33.05,17,,,,,,0,3,4,6,4,0,0,,,,,0,
-Friday-,Aug-25-23,,$49.30,$0.00,$0.00,$49.30,20,,,,,,0,4,9,3,4,0,6,,,,,0,
-Saturday-,Aug-26-23,,$33.55,$0.00,$0.00,$33.55,33,,,,,,0,9,16,8,0,0,2,,,,,0,
-Sunday-,Aug-27-23,,$6.95,$0.00,$0.00,$6.95,9,,,,,,0,2,6,1,0,0,7,,,,,0,
-Monday-,Aug-28-23,,$29.20,$84.18,$61.00,$113.38,22,,,Y,,,12,2,5,3,0,0,26,,,,,0,Carnival Miracle in port
-Thursday-,Aug-31-23,,$62.40,$8.28,$6.00,$70.68,23,,,,,,0,0,0,23,0,0,4,,,,,0,
-Friday-,Sep-1-23,,$23.90,$4.14,$3.00,$28.04,24,,,Y,,,4,3,1,7,9,0,26,,,,,0,Ruby Princess in port
-Saturday-,Sep-2-23,,$34.55,$0.00,$0.00,$34.55,4,,,,,,0,0,0,4,0,0,6,,,,,0,
-Sunday-,Sep-3-23,,$66.25,$0.00,$0.00,$66.25,24,,,,,,0,2,10,12,0,0,0,,,,,0,
-Saturday-,Sep-9-23,,$40.65,$0.00,$0.00,$40.65,11,,,,,,0,11,0,0,0,0,4,,,,,0,
