Day,Date,Total Square,Total Cash CAD,Total CAD from USD,Total Cash (USD),Total CAD,Total Visitors,Long Weekend,Sponsorship Weekend,Cruise Ship Day,Rainy Day,Classroom Visits,Cruise,Local,Northwest BC,Other,D/n pay - Family Pass,D/n pay- No $,Unwilling to pay/walked away,Babies (0-3yrs),Child (4-12 yrs),Youth (13-18 yrs),Adult/Seniors,Sponsors
-Friday-,May-9-25,$0.00,$0.00,$0.00,$0.00,$0.00,140,,,Y,,,132,2,4,2,0,0,0,11,32,12,85,0
-Friday-,May-16-25,$0.00,$0.00,$0.00,$0.00,$0.00,81,,,Y,Y,,53,9,0,1,16,2,23,2,15,10,54,0
-Saturday-,May-17-25,$0.00,$0.00,$0.00,$0.00,$0.00,10,Y,,,Y,,0,6,4,0,0,0,2,1,3,2,4,0
-Sunday-,May-18-25,$0.00,$0.00,$0.00,$0.00,$0.00,42,Y,,,,,0,27,5,5,5,0,0,11,4,1,26,0
-Monday-,May-19-25,$0.00,$535.00,$120.06,$87.00,$655.06,27,Y,,Y,Y,,10,8,0,0,6,3,27,1,9,0,17,0
-Wednesday-,May-21-25,$723.19,$0.00,$0.00,$0.00,$723.19,32,,,,,Y,0,32,0,0,0,0,0,0,10,18,4,0
-Friday-,May-23-25,$0.00,$0.00,$0.00,$0.00,$0.00,14,,,Y,Y,,4,0,6,4,0,0,0,3,1,0,10,0
-Saturday-,May-24-25,$0.00,$0.00,$0.00,$0.00,$0.00,8,,,,Y,,0,6,2,0,0,0,0,0,4,0,4,0
-Sunday-,May-25-25,$0.00,$0.00,$0.00,$0.00,$0.00,35,,,,Y,Y,0,19,0,16,0,0,0,0,10,10,15,0
-Monday-,May-26-25,$0.00,$0.00,$0.00,$0.00,$0.00,8,,,Y,Y,,0,4,0,4,0,0,0,0,0,4,4,0
-Tuesday-,May-27-25,$0.00,$0.00,$0.00,$0.00,$0.00,6,,,Y,Y,,4,0,2,0,0,0,1,0,0,0,6,0
-Wednesday-,May-28-25,$0.00,$0.00,$0.00,$0.00,$0.00,41,,,,Y,Y,0,37,0,4,0,0,2,0,31,0,10,0
-Friday-,May-30-25,$0.00,$0.00,$0.00,$0.00,$0.00,60,,,Y,Y,,58,0,0,2,0,0,0,6,13,8,33,0
-Saturday-,May-31-25,$0.00,$0.00,$0.00,$0.00,$0.00,13,,,,Y,,0,9,2,2,0,0,3,1,1,2,9,0
-Sunday-,Jun-1-25,$0.00,$0.00,$0.00,$0.00,$0.00,16,,,,,,0,3,2,7,0,4,0,2,3,0,11,0
-Monday-,Jun-2-25,$0.00,$0.00,$0.00,$0.00,$0.00,10,,,Y,Y,,6,2,0,2,0,0,5,2,3,0,5,0
-Tuesday-,Jun-3-25,$0.00,$0.00,$0.00,$0.00,$0.00,17,,,Y,Y,,14,1,0,2,0,0,5,1,5,2,9,0
-Wednesday-,Jun-4-25,$0.00,$0.00,$0.00,$0.00,$0.00,80,,,,,Y,0,80,0,0,0,0,0,0,50,24,6,0
-Thursday-,Jun-5-25,$0.00,$0.00,$0.00,$0.00,$0.00,37,,,,Y,Y,0,37,0,0,0,0,0,0,18,15,4,0
-Friday-,Jun-6-25,$0.00,$0.00,$0.00,$0.00,$0.00,33,,,Y,,,17,5,0,5,2,0,0,0,10,7,16,0
-Saturday-,Jun-7-25,$0.00,$0.00,$0.00,$0.00,$0.00,9,,,,,,0,4,2,3,0,0,0,1,3,0,5,0
-Sunday-,Jun-8-25,$0.00,$345.00,$215.28,$156.00,$560.28,9,,,,,,0,3,0,6,0,0,0,1,0,0,8,0
-Monday-,Jun-9-25,$0.00,$0.00,$0.00,$0.00,$0.00,83,,,,,Y,0,83,0,0,0,0,0,0,71,0,12,0
-Saturday-,Jun-14-25,$0.00,$0.00,$0.00,$0.00,$0.00,22,,,,,,0,22,0,0,0,0,0,0,7,0,15,0
-Sunday-,Jun-15-25,$0.00,$0.00,$0.00,$0.00,$0.00,90,,,,,,0,84,0,0,3,3,13,10,43,7,30,0
-Monday-,Jun-16-25,$0.00,$0.00,$0.00,$0.00,$0.00,52,,,Y,,,49,3,0,0,0,0,6,4,17,2,29,0
-Wednesday-,Jun-18-25,$0.00,$0.00,$0.00,$0.00,$0.00,26,,,,,Y,0,26,0,0,0,0,0,0,22,0,4,0
-Friday-,Jun-20-25,"$1,706.05",$0.00,$0.00,$0.00,"$1,706.05",33,,,Y,,,16,0,8,1,8,0,0,1,11,5,16,0
-Saturday-,Jun-21-25,$0.00,$450.00,$317.40,$230.00,$767.40,64,,,,,,0,24,8,32,0,0,0,4,10,9,41,0
-Sunday-,Jun-22-25,$0.00,$0.00,$0.00,$0.00,$0.00,5,,,,Y,,0,5,0,0,0,0,0,0,2,0,3,0
-Monday-,Jun-23-25,$0.00,$0.00,$0.00,$0.00,$0.00,16,,,,,Y,0,16,0,0,0,0,0,0,13,0,3,0
-Tuesday-,Jun-24-25,$0.00,$0.00,$0.00,$0.00,$0.00,22,,,Y,Y,Y,1,21,0,0,0,0,0,0,17,0,5,0
-Friday-,Jun-27-25,$0.00,$0.00,$0.00,$0.00,$0.00,5,,,,Y,,0,3,0,2,0,0,0,0,1,0,4,0
-Saturday-,Jun-28-25,$0.00,$0.00,$0.00,$0.00,$0.00,64,,Y,,Y,,0,33,13,18,0,0,0,4,16,0,44,0
-Sunday-,Jun-29-25,$0.00,$0.00,$0.00,$0.00,$0.00,119,,Y,,Y,,0,78,2,39,0,0,0,10,28,8,73,0
-Monday-,Jun-30-25,$0.00,$0.00,$0.00,$0.00,$0.00,69,,,Y,Y,,30,14,0,15,10,0,16,4,27,0,38,0
-Tuesday-,Jul-1-25,$0.00,$0.00,$0.00,$0.00,$0.00,28,,,,,,0,23,0,5,0,0,12,1,7,2,18,0
-Thursday-,Jul-3-25,$0.00,$275.00,$135.24,$98.00,$410.24,41,,,,,,0,36,0,5,0,0,0,4,8,0,29,0
-Friday-,Jul-4-25,$0.00,$0.00,$0.00,$0.00,$0.00,26,,,Y,,,8,1,2,15,0,0,5,1,5,5,15,0
-Saturday-,Jul-5-25,$0.00,$0.00,$0.00,$0.00,$0.00,6,,,,Y,,0,3,0,3,0,0,0,1,0,0,5,0
-Sunday-,Jul-6-25,$0.00,$0.00,$0.00,$0.00,$0.00,16,,,,,,0,8,5,1,0,2,0,4,3,0,9,0
-Monday-,Jul-7-25,$0.00,$0.00,$0.00,$0.00,$0.00,6,,,,Y,,0,4,0,2,0,0,0,1,2,0,3,0
-Tuesday-,Jul-8-25,$0.00,$0.00,$0.00,$0.00,$0.00,0,,,,Y,,0,0,0,0,0,0,0,0,0,0,0,0
-Wednesday-,Jul-9-25,$0.00,$0.00,$0.00,$0.00,$0.00,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
-Friday-,Jul-11-25,$0.00,$0.00,$0.00,$0.00,$0.00,38,,,Y,Y,,27,7,2,2,0,0,6,6,8,1,23,0
-Saturday-,Jul-12-25,$0.00,$0.00,$0.00,$0.00,$0.00,19,,,,Y,,0,8,2,9,0,0,1,4,6,0,9,0
-Sunday-,Jul-13-25,$0.00,$0.00,$0.00,$0.00,$0.00,8,,,,,,0,6,0,2,0,0,4,1,1,0,6,0
-Monday-,Jul-14-25,$0.00,$0.00,$0.00,$0.00,$0.00,84,,,Y,,,37,36,0,0,9,2,15,2,39,4,39,0
