Date,Day,Time,Category,Item,Qty,Payment Method,Total Sales,Gross Sales,Net Sales,Tax,,,,,,Notes,Token,Transaction ID,Payment ID,Details
Jun-17-23,-Saturday-,9:50:pm,Admission,1 - test,1,Card,$1.00,$1.00,$1.00,$0.00,,,,,,,44JFYUGGU7AM6OFS5EQDTYS3,xsG5wrFyKYR986w1o6ltoGjeV,j1sHjB4FWd9Zm9M8ufefaZsFvaB,https://app.squareup.com/dashboard/sales/transactions/xsG5wrFyKYR986w1o6ltoGjeV/by-unit/LK5YHD455SWY6
Jun-18-23,-Sunday-,9:52:am,Admission,1 - test,1,Other,$1.12,$1.00,$1.00,$0.12,,,,,,,44JFYUGGU7AM6OFS5EQDTYS3,h29AWAKIvtkQUzkmGU6VEEseV,fDKaRcjhOgkLjQ6d3E0JXFQFuaB,https://app.squareup.com/dashboard/sales/transactions/h29AWAKIvtkQUzkmGU6VEEseV/by-unit/LK5YHD455SWY6
Jun-18-23,-Sunday-,10:08:am,Admission,Admission Family Annual Pass,1,Card,$89.60,$80.00,$80.00,$9.60,,,,,,,UARJ4OKBMJDE4KZWJR3U7H3A,Pb8AKfnOpDfarH5nm2m0jF8eV,FKehaqxZNKxsSFe1dltcAZ5GuaB,https://app.squareup.com/dashboard/sales/transactions/Pb8AKfnOpDfarH5nm2m0jF8eV/by-unit/LK5YHD455SWY6
Jun-18-23,-Sunday-,10:13:am,Admission,Admission Child,2,Card,$11.20,$10.00,$10.00,$1.20,,,,,,,IAGAJ4HEFZS2LK6TBQWNBQGW,7PBTIWyh7hIgfhVF4iJeqKoeV,37QgSVpLvI9ADsYkM7RivuDYvaB,https://app.squareup.com/dashboard/sales/transactions/7PBTIWyh7hIgfhVF4iJeqKoeV/by-unit/LK5YHD455SWY6
Jun-18-23,-Sunday-,10:16:am,Admission,Admission Child,2,Card,$11.20,$10.00,$10.00,$1.20,,,,,,,IAGAJ4HEFZS2LK6TBQWNBQGW,LlS88fLAisBK90eXYa3kAVteV,3RrcY3JKzAxOsC918woFXg1qvaB,https://app.squareup.com/dashboard/sales/transactions/LlS88fLAisBK90eXYa3kAVteV/by-unit/LK5YHD455SWY6
Jun-18-23,-Sunday-,10:44:am,Admission,Admission Child,2,Cash,$11.20,$10.00,$10.00,$1.20,,,,,,,IAGAJ4HEFZS2LK6TBQWNBQGW,dYVZ1I5kEo2nDjFrmKsMzoyeV,v97WxqQqDtLgniEQCXdF44kWuaB,https://app.squareup.com/dashboard/sales/transactions/dYVZ1I5kEo2nDjFrmKsMzoyeV/by-unit/LK5YHD455SWY6
Jun-18-23,-Sunday-,10:47:am,Admission,Admission Adult,2,Card,$17.92,$16.00,$16.00,$1.92,,,,,,,EDGWNJ5WNEYRPNVL3E4E3SQL,nFjMwOTZA5bhSHYL9D0njHteV,H9pkp9VHmKNdivfwLoNEoB7LvaB,https://app.squareup.com/dashboard/sales/transactions/nFjMwOTZA5bhSHYL9D0njHteV/by-unit/LK5YHD455SWY6
Jun-18-23,-Sunday-,10:47:am,Admission,Admission ADULT,2,Card,$17.92,$16.00,$16.00,$1.92,,,,,,,1f168eb7-6e2e-409a-9daf-4b514ad533a8,nFjMwOTZA5bhSHYL9D0njHteV,H9pkp9VHmKNdivfwLoNEoB7LvaB,https://app.squareup.com/dashboard/sales/transactions/nFjMwOTZA5bhSHYL9D0njHteV/by-unit/LK5YHD455SWY6
Jun-18-23,-Sunday-,11:06:am,Admission,Admission ADULT,1,Card,$8.96,$8.00,$8.00,$0.96,,,,,,,1f168eb7-6e2e-409a-9daf-4b514ad533a8,JkmAfKIkOc7EDU68DqS3ULxeV,hmvKq9b7BThrFmZL9egSYnOouaB,https://app.squareup.com/dashboard/sales/transactions/JkmAfKIkOc7EDU68DqS3ULxeV/by-unit/LK5YHD455SWY6
Jun-18-23,-Sunday-,11:06:am,Admission,Admission Child,2,Card,$11.20,$10.00,$10.00,$1.20,,,,,,,IAGAJ4HEFZS2LK6TBQWNBQGW,JkmAfKIkOc7EDU68DqS3ULxeV,hmvKq9b7BThrFmZL9egSYnOouaB,https://app.squareup.com/dashboard/sales/transactions/JkmAfKIkOc7EDU68DqS3ULxeV/by-unit/LK5YHD455SWY6
